Category,Code,Name,Width (mm),Thickness (mm),Diameter (mm),Depth (mm),Flange TF (mm),Web TW (mm),Weight (kg/m),Length Options (m),Grade,Standard
Equal Angles,SA02003,Mild Steel Equal Angle 20x20x3mm,20,3,,,,,0.86,6.0,300,AS/NZS 3679.1-300
Equal Angles,SA02503,Mild Steel Equal Angle 25x25x3mm,25,3,,,,,1.12,6.0,300,AS/NZS 3679.1-300
Equal Angles,SA02505,Mild Steel Equal Angle 25x25x5mm,25,5,,,,,1.65,6.0,300,AS/NZS 3679.1-300
Equal Angles,SA03003,Mild Steel Equal Angle 30x30x3mm,30,3,,,,,1.35,6.0,300,AS/NZS 3679.1-300
Equal Angles,SA03005,Mild Steel Equal Angle 30x30x5mm,30,5,,,,,2.01,6.0,300,AS/NZS 3679.1-300
Equal Angles,SA04003,Mild Steel Equal Angle 40x40x3mm,40,3,,,,,1.83,6.0,300,AS/NZS 3679.1-300
Equal Angles,SA04005,Mild Steel Equal Angle 40x40x5mm,40,5,,,,,2.73,6.0,300,AS/NZS 3679.1-300
Equal Angles,SA05003,Mild Steel Equal Angle 50x50x3mm,50,3,,,,,2.31,6.0,300,AS/NZS 3679.1-300
Equal Angles,SA05005,Mild Steel Equal Angle 50x50x5mm,50,5,,,,,3.48,"6.0,9.0",300,AS/NZS 3679.1-300
Equal Angles,SA05006,Mild Steel Equal Angle 50x50x6mm,50,6,,,,,4.46,"6.0,9.0",300,AS/NZS 3679.1-300
Equal Angles,SA05008,Mild Steel Equal Angle 50x50x8mm,50,8,,,,,5.68,"6.0,9.0",300,AS/NZS 3679.1-300
Equal Angles,SA06006,Mild Steel Equal Angle 60x60x6mm,60,6,,,,,5.42,"6.0,9.0",300,AS/NZS 3679.1-300
Equal Angles,SA06505,Mild Steel Equal Angle 65x65x5mm,65,5,,,,,4.56,"6.0,9.0",300,AS/NZS 3679.1-300
Equal Angles,SA06506,Mild Steel Equal Angle 65x65x6mm,65,6,,,,,5.87,"6.0,9.0",300,AS/NZS 3679.1-300
Equal Angles,SA06508,Mild Steel Equal Angle 65x65x8mm,65,8,,,,,7.51,"6.0,9.0",300,AS/NZS 3679.1-300
Equal Angles,SA06510,Mild Steel Equal Angle 65x65x10mm,65,10,,,,,9.02,9.0,300,AS/NZS 3679.1-300
Equal Angles,SA07505,Mild Steel Equal Angle 75x75x5mm,75,5,,,,,5.27,"6.0,9.0,12.0",300,AS/NZS 3679.1-300
Equal Angles,SA07506,Mild Steel Equal Angle 75x75x6mm,75,6,,,,,6.81,"6.0,9.0,12.0",300,AS/NZS 3679.1-300
Equal Angles,SA07508,Mild Steel Equal Angle 75x75x8mm,75,8,,,,,8.73,"6.0,9.0,12.0",300,AS/NZS 3679.1-300
Equal Angles,SA07510,Mild Steel Equal Angle 75x75x10mm,75,10,,,,,10.50,"6.0,9.0,12.0",300,AS/NZS 3679.1-300
Equal Angles,SA08006,Mild Steel Equal Angle 80x80x6mm,80,6,,,,,7.34,"6.0,9.0",300,AS/NZS 3679.1-300
Equal Angles,SA09006,Mild Steel Equal Angle 90x90x6mm,90,6,,,,,8.22,"6.0,9.0,12.0",300,AS/NZS 3679.1-300
Equal Angles,SA09008,Mild Steel Equal Angle 90x90x8mm,90,8,,,,,10.60,"6.0,9.0,12.0",300,AS/NZS 3679.1-300
Equal Angles,SA09010,Mild Steel Equal Angle 90x90x10mm,90,10,,,,,12.70,"6.0,9.0,12.0",300,AS/NZS 3679.1-300
Equal Angles,SA10006,Mild Steel Equal Angle 100x100x6mm,100,6,,,,,9.16,"6.0,9.0,12.0",300,AS/NZS 3679.1-300
Equal Angles,SA10008,Mild Steel Equal Angle 100x100x8mm,100,8,,,,,11.80,"6.0,9.0,12.0",300,AS/NZS 3679.1-300
Equal Angles,SA10010,Mild Steel Equal Angle 100x100x10mm,100,10,,,,,14.20,"6.0,9.0,12.0",300,AS/NZS 3679.1-300
Equal Angles,SA10012,Mild Steel Equal Angle 100x100x12mm,100,12,,,,,17.70,"6.0,9.0,12.0",300,AS/NZS 3679.1-300
