"Category","Code","Name","Width (mm)","Width1 (mm)","Width2 (mm)","Thickness (mm)","Diameter (mm)","Depth (mm)","Flange Thickness (mm)","Web Thickness (mm)","Length (mm)","Weight (kg/m)","Length Options (m)","Grade","Standard","Coating","Price per kg ($)","Price per m ($)","Surface Area (m²/m)","Supplier","Available Lengths (m)","Sheet Size (mm)","Outside Diameter (mm)","Inside Diameter (mm)","Corner Radius (mm)","Wall Thickness (mm)","Nominal Size","Finish Options","Mass per Unit (kg)","Active"
"Cattle Rail RHS","RHS11504220","Cattle Rail Hollow Section 115x42x2mm","115.00","","","2.00","","42.00","","","","4.290","6.1","C350LO","AS/NZS 1163","","","","0.61","ASMUSS","","","","","","","","","","true"
"RHS","RHS12705150","Rectangular Hollow Section 127x51x5mm","127.00","","","5.00","","51.00","","","","12.500","8.0;12.0","C350LO","AS/NZS 1163","","","","0.67","ASMUSS","","","","","","","","","","true"
"RHS","RHS15005030","Rectangular Hollow Section 150x50x3mm","150.00","","","3.00","","50.00","","","","8.960","8.0;12.0","C350LO","AS/NZS 1163","","","","0.78","ASMUSS","","","","","","","","","","true"
"RHS","RHS15005050","Rectangular Hollow Section 150x50x5mm","150.00","","","5.00","","50.00","","","","14.200","8.0;12.0","C350LO","AS/NZS 1163","","","","0.76","ASMUSS","","","","","","","","","","true"
"RHS","RHS20010040","Rectangular Hollow Section 200x100x4mm","200.00","","","4.00","","100.00","","","","17.900","8.0;12.0","C350LO","AS/NZS 1163","","","","1.17","ASMUSS","","","","","","","","","","true"
"RHS","RHS20010060","Rectangular Hollow Section 200x100x6mm","200.00","","","6.00","","100.00","","","","26.200","8.0;12.0","C350LO","AS/NZS 1163","","","","1.15","ASMUSS","","","","","","","","","","true"
"Flats","SF03005","Mild Steel Flat 30x5mm","30.00","","","5.00","","","","","","1.180","6","300","AS/NZS 3679.1-300","","","","0.07","ASMUSS","","","","","","","","","","true"
"Flats","SF03208","Mild Steel Flat 32x8mm","32.00","","","8.00","","","","","","2.010","6","300","AS/NZS 3679.1-300","","","","0.08","ASMUSS","","","","","","","","","","true"
"Flats","SF04012","Mild Steel Flat 40x12mm","40.00","","","12.00","","","","","","3.770","6","300","AS/NZS 3679.1-300","","","","0.10","ASMUSS","","","","","","","","","","true"
"Flats","SF05003","Mild Steel Flat 50x3mm","50.00","","","3.00","","","","","","1.180","6","300","AS/NZS 3679.1-300","","","","0.11","ASMUSS","","","","","","","","","","true"
"Flats","SF05012","Mild Steel Flat 50x12mm","50.00","","","12.00","","","","","","4.710","6","300","AS/NZS 3679.1-300","","","","0.12","ASMUSS","","","","","","","","","","true"
"Flats","SF06505","Mild Steel Flat 65x5mm","65.00","","","5.00","","","","","","2.550","6","300","AS/NZS 3679.1-300","","","","0.14","ASMUSS","","","","","","","","","","true"
"Flats","SF07505","Mild Steel Flat 75x5mm","75.00","","","5.00","","","","","","2.940","6","300","AS/NZS 3679.1-300","","","","0.16","ASMUSS","","","","","","","","","","true"
"Flats","SF09006","Mild Steel Flat 90x6mm","90.00","","","6.00","","","","","","4.240","6","300","AS/NZS 3679.1-300","","","","0.19","ASMUSS","","","","","","","","","","true"
"Flats","SF10006","Mild Steel Flat 100x6mm","100.00","","","6.00","","","","","","4.710","6","300","AS/NZS 3679.1-300","","","","0.21","ASMUSS","","","","","","","","","","true"
"Flats","SF10012","Mild Steel Flat 100x12mm","100.00","","","12.00","","","","","","9.420","6","300","AS/NZS 3679.1-300","","","","0.22","ASMUSS","","","","","","","","","","true"
"Flats","SF13010","Mild Steel Flat 130x10mm","130.00","","","10.00","","","","","","10.210","6","300","AS/NZS 3679.1-300","","","","0.28","ASMUSS","","","","","","","","","","true"
"Flats","SF15006","Mild Steel Flat 150x6mm","150.00","","","6.00","","","","","","7.070","6","300","AS/NZS 3679.1-300","","","","0.31","ASMUSS","","","","","","","","","","true"
"Flats","SF15012","Mild Steel Flat 150x12mm","150.00","","","12.00","","","","","","14.130","6","300","AS/NZS 3679.1-300","","","","0.32","ASMUSS","","","","","","","","","","true"
"Flats","SF15025","Mild Steel Flat 150x25mm","150.00","","","25.00","","","","","","29.440","6","300","AS/NZS 3679.1-300","","","","0.35","ASMUSS","","","","","","","","","","true"
"Flats","SF20010","Mild Steel Flat 200x10mm","200.00","","","10.00","","","","","","15.700","6","300","AS/NZS 3679.1-300","","","","0.42","ASMUSS","","","","","","","","","","true"
"Flats","SF20025","Mild Steel Flat 200x25mm","200.00","","","25.00","","","","","","39.250","6","300","AS/NZS 3679.1-300","","","","0.45","ASMUSS","","","","","","","","","","true"
"Flats","SF25010","Mild Steel Flat 250x10mm","250.00","","","10.00","","","","","","19.630","6","300","AS/NZS 3679.1-300","","","","0.52","ASMUSS","","","","","","","","","","true"
"Flats","SF30025","Mild Steel Flat 300x25mm","300.00","","","25.00","","","","","","58.880","6","300","AS/NZS 3679.1-300","","","","0.65","ASMUSS","","","","","","","","","","true"
"Reinforcing Grade 300","SRD12","Grade 300 Reinforcing Bar 12mm","","","","","12.00","","","","","0.890","6","300","AS/NZS 4671","","","","0.04","ASMUSS","","","","","","","","","","true"
"Squares","SQ19","Mild Steel Square 19mm","19.00","","","19.00","","19.00","","","","2.980","6","300","AS/NZS 3679.1-300","","","","0.08","ASMUSS","","","","","","","","","","true"
"Squares","SQ50","Mild Steel Square 50mm","50.00","","","50.00","","50.00","","","","19.630","6","300","AS/NZS 3679.1-300","","","","0.20","ASMUSS","","","","","","","","","","true"
"Flats","SF02505","Mild Steel Flat 25x5mm","25.00","","","5.00","","","","","","0.980","6","300","AS/NZS 3679.1-300","","","","0.06","ASMUSS","","","","","","","","","","true"
