"Category","Code","Name","Width (mm)","Width1 (mm)","Width2 (mm)","Thickness (mm)","Diameter (mm)","Depth (mm)","Flange Thickness (mm)","Web Thickness (mm)","Length (mm)","Weight (kg/m)","Length Options (m)","Grade","Standard","Coating","Price per kg ($)","Price per m ($)","Surface Area (m²/m)","Supplier","Available Lengths (m)","Sheet Size (mm)","Outside Diameter (mm)","Inside Diameter (mm)","Corner Radius (mm)","Wall Thickness (mm)","Nominal Size","Finish Options","Mass per Unit (kg)","Active"
"Structural Channels","SC125065","Mild Steel Channel 125x65x7.5mm","125.00","","","7.50","","65.00","7.50","4.70","","11.900","6.0;9.0;12.0","G300","AS3679.1","","","","0.61","ASMUSS","","","","","","","","","","true"
"Cold Formed Channels","SC051025CF","Cold Formed Channel 50x25x3mm","50.00","","","3.00","","25.00","3.00","3.00","","2.310","6","HA-250","AS1594","","","","0.24","ASMUSS","","","","","","","","","","true"
"Universal Columns","SUC150037","Universal Column 162x154x37mm","162.00","","","37.00","","154.00","11.50","8.10","","37.200","6.0;9.0;10.5;12.0;15.0;18.0","G300SO","AS3679.1","","","","0.89","ASMUSS","","","","","","","","","","true"
"Duragal Angles","DGA05025","Duragal Angle 50x50x2.5mm","50.00","","","2.50","","","","","","1.810","6","350","TS100","","","","0.20","ASMUSS","","","","","","","","","","true"
"Duragal Angles","DGA05050","Duragal Angle 50x50x5mm","50.00","","","5.00","","","","","","3.420","6","450","TS100","","","","0.19","ASMUSS","","","","","","","","","","true"
"Reinforcing Grade 300","SRD16","Grade 300 Reinforcing Bar 16mm","","","","","16.00","","","","","1.580","6","300","AS/NZS 4671","","","","0.05","ASMUSS","","","","","","","","","","true"
"Reinforcing Grade 300","SRD20","Grade 300 Reinforcing Bar 20mm","","","","","20.00","","","","","2.470","6","300","AS/NZS 4671","","","","0.06","ASMUSS","","","","","","","","","","true"
"Reinforcing Grade 500","SRHD16","Grade 500 Reinforcing Bar 16mm","","","","","16.00","","","","","1.580","6","500","AS/NZS 4671","","","","0.05","ASMUSS","","","","","","","","","","true"
"Reid Bar","SRRB12","Reid Bar 12mm","","","","","12.00","","","","","0.890","6","500E","AS/NZS 4671","","","","0.04","ASMUSS","","","","","","","","","","true"
"Reinforcing Grade 500","SRHD12","Grade 500 Reinforcing Bar 12mm","","","","","12.00","","","","","0.890","6","500","AS/NZS 4671","","","","0.04","ASMUSS","","","","","","","","","","true"
"Flats","SF06012","Mild Steel Flat 60x12mm","60.00","","","12.00","","","","","","5.650","6","300","AS/NZS 3679.1-300","","","","0.14","ASMUSS","","","","","","","","","","true"
"Flats","SF25016","Mild Steel Flat 250x16mm","250.00","","","16.00","","","","","","31.400","6","300","AS/NZS 3679.1-300","","","","0.53","ASMUSS","","","","","","","","","","true"
"Flats","SF25020","Mild Steel Flat 250x20mm","250.00","","","20.00","","","","","","39.250","6","300","AS/NZS 3679.1-300","","","","0.54","ASMUSS","","","","","","","","","","true"
"Flats","SF25025","Mild Steel Flat 250x25mm","250.00","","","25.00","","","","","","49.060","6","300","AS/NZS 3679.1-300","","","","0.55","ASMUSS","","","","","","","","","","true"
"Flats","SF30006","Mild Steel Flat 300x6mm","300.00","","","6.00","","","","","","14.130","6","300","AS/NZS 3679.1-300","","","","0.61","ASMUSS","","","","","","","","","","true"
"Flats","SF30012","Mild Steel Flat 300x12mm","300.00","","","12.00","","","","","","28.260","6","300","AS/NZS 3679.1-300","","","","0.62","ASMUSS","","","","","","","","","","true"
"SHS","SHS03530","Square Hollow Section 35x35x3mm","1200.00","","","35.00","","35.00","","","2400.00","2.830","8.0;12.0","C350LO","AS/NZS 1163","","","","0.26","ASMUSS","","","","","","","","","","true"
"SHS","SHS07540","Square Hollow Section 75x75x4mm","1200.00","","","75.00","","75.00","","","2400.00","8.490","8.0;12.0","C350LO","AS/NZS 1163","","","","0.57","ASMUSS","","","","","","","","","","true"
"SHS","SHS07550","Square Hollow Section 75x75x5mm","1200.00","","","75.00","","75.00","","","2400.00","10.300","8.0;12.0","C350LO","AS/NZS 1163","","","","0.56","ASMUSS","","","","","","","","","","true"
"RHS","RHS07505025","Rectangular Hollow Section 75x50x2.5mm","75.00","","","2.50","","50.00","","","","4.580","8.0;12.0","C350LO","AS/NZS 1163","","","","0.48","ASMUSS","","","","","","","","","","true"
"RHS","RHS07505030","Rectangular Hollow Section 75x50x3mm","75.00","","","3.00","","50.00","","","","5.420","8.0;12.0","C350LO","AS/NZS 1163","","","","0.48","ASMUSS","","","","","","","","","","true"
"SHS","SHS03516","Square Hollow Section 35x35x1.6mm","1200.00","","","35.00","","35.00","","","2400.00","1.630","8","C350LO","AS/NZS 1163","","","","0.27","ASMUSS","","","","","","","","","","true"
"RHS","RHS06503525","Rectangular Hollow Section 65x35x2.5mm","65.00","","","2.50","","35.00","","","","3.600","8.0;12.0","C350LO","AS/NZS 1163","","","","0.38","ASMUSS","","","","","","","","","","true"
"SHS","SHS04016","Square Hollow Section 40x40x1.6mm","1200.00","","","40.00","","40.00","","","2400.00","1.880","8.0;12.0","C350LO","AS/NZS 1163","","","","0.31","ASMUSS","","","","","","","","","","true"
"RHS","RHS07502516","Rectangular Hollow Section 75x25x1.6mm","75.00","","","1.60","","25.00","","","","2.380","8","C350LO","AS/NZS 1163","","","","0.39","ASMUSS","","","","","","","","","","true"
"RHS","RHS07502520","Rectangular Hollow Section 75x25x2mm","75.00","","","2.00","","25.00","","","","2.930","8.0;12.0","C350LO","AS/NZS 1163","","","","0.38","ASMUSS","","","","","","","","","","true"
"RHS","RHS07504025","Rectangular Hollow Section 75x40x2.5mm","75.00","","","2.50","","40.00","","","","4.180","8.0;12.0","C350LO","AS/NZS 1163","","","","0.44","ASMUSS","","","","","","","","","","true"
"RHS","RHS07504040","Rectangular Hollow Section 75x40x4mm","75.00","","","4.00","","40.00","","","","6.290","8.0;12.0","C350LO","AS/NZS 1163","","","","0.43","ASMUSS","","","","","","","","","","true"
"Cattle Rail RHS","RHS09704220","Cattle Rail Hollow Section 97x42x2mm","97.00","","","2.00","","42.00","","","","3.650","6.1","C350LO","AS/NZS 1163","","","","0.54","ASMUSS","","","","","","","","","","true"
"RHS","RHS10005060","Rectangular Hollow Section 100x50x6mm","100.00","","","6.00","","50.00","","","","12.000","8.0;12.0","C350LO","AS/NZS 1163","","","","0.55","ASMUSS","","","","","","","","","","true"
"Flats","SF02003","Mild Steel Flat 20x3mm","20.00","","","3.00","","","","","","0.470","6","300","AS/NZS 3679.1-300","","","","0.05","ASMUSS","","","","","","","","","","true"
"Seamless Line Pipe","LPS010040","Seamless Line Pipe 10x40 STD","","","","2.31","17.10","","","2.31","","0.850","6","B","API 5L/ASTM A53/A106","","","","0.09","","","","","","","","","","","true"
"SHS","SHS12560","Square Hollow Section 125x125x6mm","1200.00","","","125.00","","125.00","","","2400.00","21.400","8.0;12.0","C350LO","AS/NZS 1163","","","","0.95","ASMUSS","","","","","","","","","","true"
"Seamless Line Pipe","LPS025040","Seamless Line Pipe 25x40 STD","","","","3.38","33.40","","","3.38","","2.500","6","B","API 5L/ASTM A53/A106","","","","0.19","","","","","","","","","","","true"
"SHS","SHS15040","Square Hollow Section 150x150x4mm","1200.00","","","150.00","","150.00","","","2400.00","17.900","8.0;12.0","C350LO","AS/NZS 1163","","","","1.17","ASMUSS","","","","","","","","","","true"
"Rounds","SR06","Mild Steel Round 6mm","","","","","6.00","","","","","0.220","6","300","AS/NZS 3679.1-300","","","","0.02","ASMUSS","","","","","","","","","","true"
"SHS","SHS15050","Square Hollow Section 150x150x5mm","1200.00","","","150.00","","150.00","","","2400.00","22.100","8.0;12.0","C350LO","AS/NZS 1163","","","","1.16","ASMUSS","","","","","","","","","","true"
"RHS","RHS07505020","Rectangular Hollow Section 75x50x2mm","75.00","","","2.00","","50.00","","","","3.720","8.0;12.0","C350LO","AS/NZS 1163","","","","0.48","ASMUSS","","","","","","","","","","true"
"RHS","RHS07603830","Rectangular Hollow Section 76x38x3mm","76.00","","","3.00","","38.00","","","","4.840","8.0;12.0","C350LO","AS/NZS 1163","","","","0.43","ASMUSS","","","","","","","","","","true"
"RHS","RHS15010040","Rectangular Hollow Section 150x100x4mm","150.00","","","4.00","","100.00","","","","14.800","8.0;12.0","C350LO","AS/NZS 1163","","","","0.97","ASMUSS","","","","","","","","","","true"
"SHS","SHS03020","Square Hollow Section 30x30x2mm","1200.00","","","30.00","","30.00","","","2400.00","1.680","8.0;12.0","C350LO","AS/NZS 1163","","","","0.22","ASMUSS","","","","","","","","","","true"
"SHS","SHS03540","Square Hollow Section 35x35x4mm","1200.00","","","35.00","","35.00","","","2400.00","3.460","8.0;12.0","C350LO","AS/NZS 1163","","","","0.25","ASMUSS","","","","","","","","","","true"
"SHS","SHS04020","Square Hollow Section 40x40x2mm","1200.00","","","40.00","","40.00","","","2400.00","2.310","8.0;12.0","C350LO","AS/NZS 1163","","","","0.30","ASMUSS","","","","","","","","","","true"
"SHS","SHS05016","Square Hollow Section 50x50x1.6mm","1200.00","","","50.00","","50.00","","","2400.00","2.380","8.0;12.0","C350LO","AS/NZS 1163","","","","0.39","ASMUSS","","","","","","","","","","true"
"SHS","SHS05030","Square Hollow Section 50x50x3mm","1200.00","","","50.00","","50.00","","","2400.00","4.250","8.0;12.0","C350LO","AS/NZS 1163","","","","0.38","ASMUSS","","","","","","","","","","true"
"SHS","SHS06530","Square Hollow Section 65x65x3mm","1200.00","","","65.00","","65.00","","","2400.00","5.660","8.0;12.0","C350LO","AS/NZS 1163","","","","0.50","ASMUSS","","","","","","","","","","true"
"Rounds","SR16","Mild Steel Round 16mm","","","","","16.00","","","","","1.580","6.0;9.0","300","AS/NZS 3679.1-300","","","","0.05","ASMUSS","","","","","","","","","","true"
"Seamless Line Pipe","LPS015040","Seamless Line Pipe 15x40 STD","","","","2.77","21.30","","","2.77","","1.270","6","B","API 5L/ASTM A53/A106","","","","0.12","","","","","","","","","","","true"
"RHS","RHS10005030","Rectangular Hollow Section 100x50x3mm","100.00","","","3.00","","50.00","","","","6.600","8.0;12.0","C350LO","AS/NZS 1163","","","","0.58","ASMUSS","","","","","","","","","","true"
"RHS","RHS12507540","Rectangular Hollow Section 125x75x4mm","125.00","","","4.00","","75.00","","","","11.600","8.0;12.0","C350LO","AS/NZS 1163","","","","0.77","ASMUSS","","","","","","","","","","true"
"RHS","RHS12507550","Rectangular Hollow Section 125x75x5mm","125.00","","","5.00","","75.00","","","","14.200","8.0;12.0","C350LO","AS/NZS 1163","","","","0.76","ASMUSS","","","","","","","","","","true"
"Seamless Line Pipe","LPS015080","Seamless Line Pipe 15x80 XS","","","","3.73","21.30","","","3.73","","1.620","6","B","API 5L/ASTM A53/A106","","","","0.11","","","","","","","","","","","true"
"Squares","SQ25","Mild Steel Square 25mm","25.00","","","25.00","","25.00","","","","4.910","6","300","AS/NZS 3679.1-300","","","","0.10","ASMUSS","","","","","","","","","","true"
"Rounds","SR08","Mild Steel Round 8mm","","","","","8.00","","","","","0.400","6","300","AS/NZS 3679.1-300","","","","0.03","ASMUSS","","","","","","","","","","true"
"Rounds","SR10","Mild Steel Round 10mm","","","","","10.00","","","","","0.620","6","300","AS/NZS 3679.1-300","","","","0.03","ASMUSS","","","","","","","","","","true"
"Rounds","SR12","Mild Steel Round 12mm","","","","","12.00","","","","","0.890","6","300","AS/NZS 3679.1-300","","","","0.04","ASMUSS","","","","","","","","","","true"
"Rounds","SR20","Mild Steel Round 20mm","","","","","20.00","","","","","2.470","6.0;9.0","300","AS/NZS 3679.1-300","","","","0.06","ASMUSS","","","","","","","","","","true"
"Seamless Line Pipe","LPS050160","Seamless Line Pipe 50x160","","","","8.73","60.30","","","8.73","","10.020","6","B","API 5L/ASTM A53/A106","","","","0.32","","","","","","","","","","","true"
"Rounds","SR28","Mild Steel Round 28mm","","","","","28.00","","","","","4.830","6","300","AS/NZS 3679.1-300","","","","0.09","ASMUSS","","","","","","","","","","true"
"Rounds","SR32","Mild Steel Round 32mm","","","","","32.00","","","","","6.310","6","300","AS/NZS 3679.1-300","","","","0.10","ASMUSS","","","","","","","","","","true"
"Rounds","SR50","Mild Steel Round 50mm","","","","","50.00","","","","","15.410","6","300","AS/NZS 3679.1-300","","","","0.16","ASMUSS","","","","","","","","","","true"
"Rounds","SR40","Mild Steel Round 40mm","","","","","40.00","","","","","9.860","6","300","AS/NZS 3679.1-300","","","","0.13","ASMUSS","","","","","","","","","","true"
"Equal Angles","SA05006","Mild Steel Equal Angle 50x50x6mm","50.00","","","6.00","","","","","","4.460","6.0;9.0","300","AS/NZS 3679.1-300","","","","0.19","ASMUSS","","","","","","","","","","true"
"Equal Angles","SA06508","Mild Steel Equal Angle 65x65x8mm","65.00","","","8.00","","","","","","7.510","6.0;9.0","300","AS/NZS 3679.1-300","","","","0.24","ASMUSS","","","","","","","","","","true"
"Equal Angles","SA09006","Mild Steel Equal Angle 90x90x6mm","90.00","","","6.00","","","","","","8.220","6.0;9.0;12.0","300","AS/NZS 3679.1-300","","","","0.35","ASMUSS","","","","","","","","","","true"
"Equal Angles","SA09010","Mild Steel Equal Angle 90x90x10mm","90.00","","","10.00","","","","","","12.700","6.0;9.0;12.0","300","AS/NZS 3679.1-300","","","","0.34","ASMUSS","","","","","","","","","","true"
"Equal Angles","SA10008","Mild Steel Equal Angle 100x100x8mm","100.00","","","8.00","","","","","","11.800","6.0;9.0;12.0","300","AS/NZS 3679.1-300","","","","0.38","ASMUSS","","","","","","","","","","true"
"Seamless Line Pipe","LPS020040","Seamless Line Pipe 20x40 STD","","","","2.87","26.70","","","2.87","","1.690","6","B","API 5L/ASTM A53/A106","","","","0.15","","","","","","","","","","","true"
"ERW Line Pipe","LPW200478","ERW Line Pipe 200x4.78","","","","4.78","219.10","","","4.78","","25.260","6.0;12.0","B","ASTM API 5L","","","","1.35","","","","","","","","","","","true"
"Reinforcing Mesh","SRM668","Reinforcing Mesh 150x150x4mm","150.00","","","4.00","","","","","","1.370","4.65x1.97","D500","NZS 3422:1975","","","","0.17","ASMUSS","","","","","","","","","","true"
"Duragal Channels","DGC075404","Duragal Channel 75x40x4mm","75.00","","","4.00","","40.00","4.00","4.00","","4.250","9","450","TS100","","","","0.36","ASMUSS","","","","","","","","","","true"
"Duragal Angles","DGA03025","Test Material Updated","30.00","","","2.50","","","","","","1.060","6","350","TS100","","","","0.12","ASMUSS","","","","","","","","","","true"
"Duragal Angles","DGA04040","Duragal Angle 40x40x4mm","40.00","","","4.00","","","","","","2.200","6","450","TS100","","","","0.15","ASMUSS","","","","","","","","","","true"
"Duragal Angles","DGA05060","Duragal Angle 50x50x6mm","50.00","","","6.00","","","","","","4.210","9","450","TS100","","","","0.19","ASMUSS","","","","","","","","","","true"
"Duragal Angles","DGA07550","Duragal Angle 75x75x5mm","75.00","","","5.00","","","","","","5.260","9","450","TS100","","","","0.29","ASMUSS","","","","","","","","","","true"
"Reinforcing Mesh","SRM118","Reinforcing Mesh 25x25x4mm","25.00","","","4.00","","","","","","8.680","2.4x1.2","D500","NZS 3422:1975","","","","1.01","ASMUSS","","","","","","","","","","true"
"Reinforcing Mesh","SRM335","Reinforcing Mesh 75x75x5.3mm","75.00","","","5.30","","","","","","3.810","2.4x1.2;4.65x1.97","D500","NZS 3422:1975","","","","0.44","ASMUSS","","","","","","","","","","true"
"ERW Line Pipe","LPW15020","ERW Line Pipe 150x20","","","","6.35","168.30","","","6.35","","25.360","6.0;12.0","B","ASTM API 5L","","","","1.02","","","","","","","","","","","true"
"ERW Line Pipe","LPW30020","ERW Line Pipe 300x20","","","","6.35","323.90","","","6.35","","49.720","6.0;12.0","B","ASTM API 5L","","","","2.00","","","","","","","","","","","true"
"Equal Angles","SA02505","Mild Steel Equal Angle 25x25x5mm","25.00","","","5.00","","","","","","1.650","6","300","AS/NZS 3679.1-300","","","","0.09","ASMUSS","","","","","","","","","","true"
"Duragal Channels","DGC100504","Duragal Channel 100x50x4mm","100.00","","","4.00","","50.00","4.00","4.00","","5.590","9","450","TS100","","","","0.48","ASMUSS","","","","","","","","","","true"
"Reinforcing Grade 500","SRHD10","Grade 500 Reinforcing Bar 10mm","","","","","10.00","","","","","0.620","6","500","AS/NZS 4671","","","","0.03","ASMUSS","","","","","","","","","","true"
"Equal Angles","SA03005","Mild Steel Equal Angle 30x30x5mm","30.00","","","5.00","","","","","","2.010","6","300","AS/NZS 3679.1-300","","","","0.11","ASMUSS","","","","","","","","","","true"
"RHS","RHS05002530","Rectangular Hollow Section 50x25x3mm","50.00","","","3.00","","25.00","","","","3.070","8.0;12.0","C350LO","AS/NZS 1163","","","","0.28","ASMUSS","","","","","","","","","","true"
"RHS","RHS06503540","Rectangular Hollow Section 65x35x4mm","65.00","","","4.00","","35.00","","","","5.350","8.0;12.0","C350LO","AS/NZS 1163","","","","0.37","ASMUSS","","","","","","","","","","true"
"RHS","RHS05002516","Rectangular Hollow Section 50x25x1.6mm","50.00","","","1.60","","25.00","","","","1.750","8.0;12.0","C350LO","AS/NZS 1163","","","","0.29","ASMUSS","","","","","","","","","","true"
"RHS","RHS07504030","Rectangular Hollow Section 75x40x3mm","75.00","","","3.00","","40.00","","","","4.950","8.0;12.0","C350LO","AS/NZS 1163","","","","0.44","ASMUSS","","","","","","","","","","true"
"Universal Columns","SUC150030","Universal Column 158x153x30mm","158.00","","","30.00","","153.00","9.40","6.60","","30.000","6.0;9.0;12.0;15.0;18.0","G300SO","AS3679.1","","","","0.89","ASMUSS","","","","","","","","","","true"
"Structural Channels","SC150075","Mild Steel Channel 150x75x9.5mm","150.00","","","9.50","","75.00","9.50","6.00","","17.700","6.0;9.0;10.5;12.0;15.0;16.5;18.0","G300","AS3679.1","","","","0.72","ASMUSS","","","","","","","","","","true"
"Universal Beams","SUB150018","Universal Beam 155x75x18mm","155.00","","","18.00","","75.00","9.50","6.00","","18.000","6.0;9.0;12.0;13.5","G300SO","AS3679.1","","","","0.72","ASMUSS","","","","","","","","","","true"
"Universal Beams","SUB180022","Universal Beam 179x90x22mm","179.00","","","22.00","","90.00","10.00","6.00","","22.200","6.0;9.0;12.0;13.5","G300SO","AS3679.1","","","","0.84","ASMUSS","","","","","","","","","","true"
"Universal Beams","SUB200030","Universal Beam 207x134x30mm","207.00","","","30.00","","134.00","9.60","6.30","","29.800","6.0;9.0;10.5;12.0;15.0;18.0","G300SO","AS3679.1","","","","1.05","ASMUSS","","","","","","","","","","true"
"SHS","SHS02016","Square Hollow Section 20x20x1.6mm","1200.00","","","20.00","","20.00","","","2400.00","0.870","8.0;12.0","C350LO","AS/NZS 1163","","","","0.15","ASMUSS","","","","","","","","","","true"
"Universal Columns","SUC200046","Universal Column 203x203x46mm","203.00","","","46.00","","203.00","11.00","7.30","","46.200","6.0;9.0;10.5;12.0;15.0;16.5;18.0","G300SO","AS3679.1","","","","1.16","ASMUSS","","","","","","","","","","true"
"Universal Columns","SUC200060","Universal Column 210x205x60mm","210.00","","","60.00","","205.00","14.20","9.30","","59.500","6.0;9.0;10.5;12.0;15.0;18.0","G300SO","AS3679.1","","","","1.17","ASMUSS","","","","","","","","","","true"
"Universal Columns","SUC250073","Universal Column 254x254x73mm","254.00","","","73.00","","254.00","14.20","8.60","","72.900","6.0;9.0;10.5;12.0;15.0;18.0","G300SO","AS3679.1","","","","1.45","ASMUSS","","","","","","","","","","true"
"Universal Columns","SUC310118","Universal Column 315x307x118mm","315.00","","","118.00","","307.00","18.70","11.90","","118.000","6.0;9.0;10.5;12.0;15.0;18.0","G300SO","AS3679.1","","","","1.78","ASMUSS","","","","","","","","","","true"
"SHS","SHS02516","Square Hollow Section 25x25x1.6mm","1200.00","","","25.00","","25.00","","","2400.00","1.120","8.0;12.0","C350LO","AS/NZS 1163","","","","0.19","ASMUSS","","","","","","","","","","true"
"Seamless Line Pipe","LPS015XXS","Seamless Line Pipe 15xXXS","","","","7.47","21.30","","","7.47","","2.500","6","B","API 5L/ASTM A53/A106","","","","0.09","","","","","","","","","","","true"
"Cattle Rail RHS","RHS05903016","Cattle Rail Hollow Section 59x30x1.6mm","59.00","","","1.60","","30.00","","","","2.600","6.1","C350LO","AS/NZS 1163","","","","0.34","ASMUSS","","","","","","","","","","true"
"RHS","RHS10207650","Rectangular Hollow Section 102x76x5mm","102.00","","","5.00","","76.00","","","","12.500","8.0;12.0","C350LO","AS/NZS 1163","","","","0.67","ASMUSS","","","","","","","","","","true"
"RHS","RHS25015050","Rectangular Hollow Section 250x150x5mm","250.00","","","5.00","","150.00","","","","29.900","8.0;12.0","C350LO","AS/NZS 1163","","","","1.56","ASMUSS","","","","","","","","","","true"
"RHS","RHS25015090","Rectangular Hollow Section 250x150x9mm","250.00","","","9.00","","150.00","","","","51.800","8.0;12.0","C350LO","AS/NZS 1163","","","","1.53","ASMUSS","","","","","","","","","","true"
"Flats","SF05005","Mild Steel Flat 50x5mm","50.00","","","5.00","","","","","","1.960","6","300","AS/NZS 3679.1-300","","","","0.11","ASMUSS","","","","","","","","","","true"
"Flats","SF05010","Mild Steel Flat 50x10mm","50.00","","","10.00","","","","","","3.930","6","300","AS/NZS 3679.1-300","","","","0.12","ASMUSS","","","","","","","","","","true"
"Flats","SF06516","Mild Steel Flat 65x16mm","65.00","","","16.00","","","","","","8.160","6","300","AS/NZS 3679.1-300","","","","0.16","ASMUSS","","","","","","","","","","true"
"Flats","SF07516","Mild Steel Flat 75x16mm","75.00","","","16.00","","","","","","9.420","6","300","AS/NZS 3679.1-300","","","","0.18","ASMUSS","","","","","","","","","","true"
"Flats","SF10005","Mild Steel Flat 100x5mm","100.00","","","5.00","","","","","","3.930","6","300","AS/NZS 3679.1-300","","","","0.21","ASMUSS","","","","","","","","","","true"
"Flats","SF13012","Mild Steel Flat 130x12mm","130.00","","","12.00","","","","","","12.250","6","300","AS/NZS 3679.1-300","","","","0.28","ASMUSS","","","","","","","","","","true"
"Flats","SF13020","Mild Steel Flat 130x20mm","130.00","","","20.00","","","","","","20.410","6","300","AS/NZS 3679.1-300","","","","0.30","ASMUSS","","","","","","","","","","true"
"Flats","SF18012","Mild Steel Flat 180x12mm","180.00","","","12.00","","","","","","16.960","6","300","AS/NZS 3679.1-300","","","","0.38","ASMUSS","","","","","","","","","","true"
"Flats","SF20020","Mild Steel Flat 200x20mm","200.00","","","20.00","","","","","","31.400","6","300","AS/NZS 3679.1-300","","","","0.44","ASMUSS","","","","","","","","","","true"
"Flats","SF30010","Mild Steel Flat 300x10mm","300.00","","","10.00","","","","","","23.550","6","300","AS/NZS 3679.1-300","","","","0.62","ASMUSS","","","","","","","","","","true"
"Equal Angles","SA05003","Mild Steel Equal Angle 50x50x3mm","50.00","","","3.00","","","","","","2.310","6","300","AS/NZS 3679.1-300","","","","0.19","ASMUSS","","","","","","","","","","true"
"Equal Angles","SA20013","Mild Steel Equal Angle 200x200x13mm","200.00","","","13.00","","","","","","40.000","9.0;12.0","300","AS/NZS 3679.1-300","","","","0.77","ASMUSS","","","","","","","","","","true"
"Black Pipe","PBMPE025","Black Pipe Medium 25mm","","","","3.20","33.70","","","3.20","","2.410","6.5","C250","AS1074","","","","0.19","","","","","","","","","","","true"
"RHS","RHS10005040","Rectangular Hollow Section 100x50x4mm","100.00","","","4.00","","50.00","","","","8.490","8.0;12.0","C350LO","AS/NZS 1163","","","","0.57","ASMUSS","","","","","","","","","","true"
"Reinforcing Grade 500","SRHD20","Grade 500 Reinforcing Bar 20mm","","","","","20.00","","","","","2.470","6","500","AS/NZS 4671","","","","0.06","ASMUSS","","","","","","","","","","true"
"Universal Beams","SUB310046","Universal Beam 307x166x46mm","307.00","","","46.00","","166.00","11.80","6.70","","46.200","6.0;9.0;10.5;12.0;13.5;15.0;18.0","G300SO","AS3679.1","","","","1.50","ASMUSS","","","","","","","","","","true"
"Universal Columns","SUC250089","Universal Column 260x256x89mm","260.00","","","89.00","","256.00","17.30","10.50","","89.500","6.0;9.0;10.5;12.0;15.0;18.0","G300SO","AS3679.1","","","","1.46","ASMUSS","","","","","","","","","","true"
"Universal Columns","SUC310097","Universal Column 308x305x97mm","308.00","","","97.00","","305.00","15.40","9.90","","96.800","6.0;9.0;10.5;12.0;15.0;18.0","G300SO","AS3679.1","","","","1.76","ASMUSS","","","","","","","","","","true"
"Equal Angles","SA03003","Mild Steel Equal Angle 30x30x3mm","30.00","","","3.00","","","","","","1.350","6","300","AS/NZS 3679.1-300","","","","0.11","ASMUSS","","","","","","","","","","true"
"Unequal Angles","SUA10007508","Mild Steel Unequal Angle 100x75x8mm","100.00","100.00","75.00","8.00","","","","","","10.300","6.0;9.0;12.0","300","AS/NZS 3679.1-300","","","","0.33","ASMUSS","","","","","","","","","","true"
"Unequal Angles","SUA10007510","Mild Steel Unequal Angle 100x75x10mm","100.00","100.00","75.00","10.00","","","","","","12.400","6.0;9.0;12.0","300","AS/NZS 3679.1-300","","","","0.33","ASMUSS","","","","","","","","","","true"
"Seamless Line Pipe","LPS032040","Seamless Line Pipe 32x40 STD","","","","3.56","42.20","","","3.56","","3.390","6","B","API 5L/ASTM A53/A106","","","","0.24","","","","","","","","","","","true"
"Seamless Line Pipe","LPS040040","Seamless Line Pipe 40x40 STD","","","","3.68","48.30","","","3.68","","4.060","6","B","API 5L/ASTM A53/A106","","","","0.28","","","","","","","","","","","true"
"Seamless Line Pipe","LPS040080","Seamless Line Pipe 40x80 XS","","","","5.08","48.30","","","5.08","","5.410","6","B","API 5L/ASTM A53/A106","","","","0.27","","","","","","","","","","","true"
"Seamless Line Pipe","LPS050040","Seamless Line Pipe 50x40 STD","","","","3.91","60.30","","","3.91","","5.440","6","B","API 5L/ASTM A53/A106","","","","0.35","","","","","","","","","","","true"
"Seamless Line Pipe","LPS065040","Seamless Line Pipe 65x40 STD","","","","5.16","73.00","","","5.16","","8.630","6","B","API 5L/ASTM A53/A106","","","","0.43","","","","","","","","","","","true"
"Seamless Line Pipe","LPS080040","Seamless Line Pipe 80x40 STD","","","","5.49","88.90","","","5.49","","11.290","6","B","API 5L/ASTM A53/A106","","","","0.52","","","","","","","","","","","true"
"Seamless Line Pipe","LPS100160","Seamless Line Pipe 100x160","","","","13.48","114.30","","","13.48","","33.510","6","B","API 5L/ASTM A53/A106","","","","0.63","","","","","","","","","","","true"
"Seamless Line Pipe","LPS125040","Seamless Line Pipe 125x40 STD","","","","6.55","141.30","","","6.55","","21.770","6","B","API 5L/ASTM A53/A106","","","","0.85","","","","","","","","","","","true"
"Seamless Line Pipe","LPS150120","Seamless Line Pipe 150x120","","","","14.27","168.30","","","14.27","","54.200","6","B","API 5L/ASTM A53/A106","","","","0.97","","","","","","","","","","","true"
"Seamless Line Pipe","LPS200160","Seamless Line Pipe 200x160","","","","23.01","219.10","","","23.01","","111.300","6","B","API 5L/ASTM A53/A106","","","","1.23","","","","","","","","","","","true"
"Seamless Line Pipe","LPS250080","Seamless Line Pipe 250x80","","","","15.09","273.10","","","15.09","","95.800","6","B","API 5L/ASTM A53/A106","","","","1.62","","","","","","","","","","","true"
"ERW Line Pipe","LPW10040","ERW Line Pipe 100x40 STD","","","","6.02","114.30","","","6.02","","12.000","6","B","ASTM API 5L","","","","0.68","","","","","","","","","","","true"
"ERW Line Pipe","LPW150478","ERW Line Pipe 150x4.78","","","","4.78","168.30","","","4.78","","19.280","6.0;12.0","B","ASTM API 5L","","","","1.03","","","","","","","","","","","true"
"Black Pipe","PBHPE100","Black Pipe Heavy 100mm","","","","5.40","114.30","","","5.40","","14.500","6.5","C250","AS1074","","","","0.68","","","","","","","","","","","true"
"Black Pipe","PBLPE025","Black Pipe Light 25mm","","","","2.60","33.70","","","2.60","","1.990","6.5","C350","AS1163","","","","0.20","","","","","","","","","","","true"
